問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
在宅復帰を目指してリハビリテーションを行う施設はどれか。1つ選べ。[119A1-ori],介護医療院,介護老人福祉施設,介護老人保健施設,介護療養型医療施設,認知症高齢者グループホーム,c,衛生学必修,
病原体が神経節に潜伏感染するのはどれか。1つ選べ。[119A2-ori],風疹,帯状疱疹,手足口病,ヘルパンギーナ,流行性耳下腺炎,b,微生物学必修,
水溶液として歯質脱灰能を有するのはどれか。1つ選べ。[119A3-ori],MDP,MMA,HEMA,Bis-MEPP,DMAEMA,a,歯科理工学必修,
HbA1cについて正しいのはどれか。1つ選べ。[119A4-ori],心筋梗塞で低値を示す。,尿を検体として用いる。,空腹時に測定する必要がある。,過去1〜2か月の血糖状態を反映する。,Child-Pugh分類の評価項目に含まれる。,d,歯科麻酔学必修,
"ある臓器のH-E染色組織像を示す。
循環血液量の減少によって、この臓器から分泌されるのはどれか。1つ選べ。[119A5-ori]",レニン,メラトニン,カルシトニン,アルドステロン,プロラクチン<PRL>,a,生理学必修,https://drive.google.com/file/d/1Lf64jElAcwIv2RJFKdJzGhNvhZZZdhJ0/view?usp=drive_link
歯の変色がみられるのはどれか。1つ選べ。[119A6-ori],Riga-Fede病,新生児メレナ,Turner症候群,第一第二鰓弓症候群,von Recklinghausen 病,b,病理学必修,
患者の人権尊重に寄与するのはどれか。2つ選べ。[119A7-ori],後発医薬品の普及,医療費適正化計画の推進,セカンドオピニオンの推奨,インフォームド・アセントの普及,ライフステージに応じた保健目標の設定,34,衛生学必修,https://drive.google.com/file/d/1EiT1gOOMtfSJiRuy5EshU6JPHveMjJvI/view?usp=drive_link
口腔機能精密検査の中で、咀嚼能力の評価に用いるのはどれか。1つ選べ。[119A8-ori],舌圧,咬合圧,EAT-10,残存歯数,グルコース溶出量,e,衛生学必修,
地域保健活動に用いる標準的な質問票の一部を示す。この質問票を用いるのはどれか。1つ選べ。[119A9-ori],介護保険法に基づく生活機能評価,健康増進法に基づく歯周疾患検診,母子保健法に基づく妊産婦健康診断,労働安全衛生法に基づく特殊健康診断,高齢者の医療の確保に関する法律に基づく特定健康診査,e,衛生学必修,
齲蝕象牙質内層の特徴で正しいのはどれか。1つ選べ。[119A10-ori],裂隙の形成,細管の明瞭化,不透明層の存在,顆粒状結晶の存在,表層下脱灰の存在,d,保存修復学必修,
男性の放射線診療従事者が、個人モニタリングでガラスバッジ線量計を装着する部位はどれか。1つ選べ。[119A11-ori],胸部,頸部,肩部,腹部,腰部,a,歯科放射線学必修,
アモキシシリン水和物で生じる副作用はどれか。1つ選べ。[119A12-ori],難聴,貧血,眼圧亢進,味覚障害,多形滲出性紅斑,e,薬理学必修,
学校歯科健康診断の顎関節の結果で、「1」はどれか。1つ選べ。[119A13-ori],要観察,要注意,要治療,異常なし,要精密検査,a,衛生学必修,
混合歯列期に起こるのはどれか。1つ選べ。[119A14-ori],大泉門の閉鎖,小泉門の閉鎖,蝶篩骨軟骨結合の癒合,蝶形骨間軟骨結合の癒合,蝶後頭軟骨結合の癒合,c,解剖組織学必修,
"Digitalization in dentistry has been rapidly progressing with a technological innovation of dental CAD/CAM system. CAD/CAM is an abbreviation for Computer Aided (	) /Computer Aided Manufacturing.
(　)に入るのはどれか。1つ選べ。[119A15-ori]",Data,Design,Device,Direction,Digitizing,b,冠橋義歯学必修,
矯正歯科治療における診断でローアングルの特徴はどれか。1つ選べ。[119A16-ori],下顎角の狭小,咬合力の減少,下顔面高の過大,オーバーバイトの減少,下顎下縁平面の急傾斜,a,歯科矯正学必修,
"局所麻酔直後に顔面蒼白および振戦を認めた。
まず行うのはどれか。1つ選べ。[119A17-ori]",胸骨圧迫,意識の確認,呼吸の確認,脈拍の触知,静脈路の確保,b,歯科麻酔学必修,
プロトロンビンからトロンビンへの変換に必要なのはどれか。1つ選べ。[119A18-ori],H⁺,K⁺,Cl⁻,Na⁺,Ca²⁺,e,生化学必修,
障害によって嗄声を生じるのはどれか。1つ選べ。[119A19-ori],三叉神経,舌咽神経,迷走神経,副神経,舌下神経,c,解剖組織学必修,
必須アミノ酸はどれか。1つ選べ。[119A20-ori],バリン,グリシン,チロシン,グルタミン酸,アスパラギン酸,a,生化学必修,
咽頭期に生じる誤嚥を検出できるのはどれか。1つ選べ。[119A21-ori],EAT-10,咳テスト,嚥下造影検査,嚥下内視鏡検査,高解像度マノメトリ検査,c,衛生学一般,
良性上皮間葉混合性歯原性腫瘍はどれか。2つ選べ。[119A22-ori],歯牙腫,歯原性粘液腫,原始性歯原性腫瘍,セメント芽細胞腫,腺腫様歯原性腫瘍,13,病理学一般,https://drive.google.com/file/d/1CGhP-acd7nC1hvq7z1OFFvaNjUMHLMI1/view?usp=drive_link
"82歳の女性。左下奥歯に食べ物がはさまることを主訴として来院した。1年前から自覚していたがそのままにしていたという。検査の結果、下顎左側大臼歯部の慢性歯周炎と診断した。患者は1か月前に軽度Alzheimer型認知症と診断されている。初診時の口腔内写真(A)、エックス線画像(B)を示す。歯周組織検査の一部を表に示す。
まず行うのはどれか。2つ選べ。[119A23-ori]",SRP,LDDS,口腔清掃指導,FGF-2製剤の応用,プロビジョナル固定,13,歯周病学臨床実地,https://drive.google.com/file/d/1yJDGfFu26ztK_-NW9NFnaw984tkEKeMn/view?usp=drive_link
幼児に対する全身麻酔下での歯科治療で正しいのはどれか。3つ選べ。[119A24-ori],麻酔は急速導入法が多い。,多数歯の治療が可能である。,12時間以上の絶食が必要である。,治療内容が制限されることがある。,歯科治療による心的外傷を与えない。,245,歯科麻酔学一般,https://drive.google.com/file/d/1sAUaRjvgN0pHGjjMh9v5-s3Y_O0H75z9/view?usp=drive_link
鉤尖をニアゾーンに設定し、孤立した最後方臼歯に左右対称的に適用されるクラスプはどれか。1つ選べ。[119A25-ori],RPIクラスプ,Akersクラスプ,リングクラスプ,ヘアピンクラスプ,バックアクションクラスプ,c,部分床義歯学一般,
"マルチブラケット装置を用いて矯正歯科治療を行うこととした。
矯正力を弱くする方法で正しいのはどれか。3つ選べ。[119A26-ori]]",ワイヤーにループを付与する。,ステンレス鋼ワイヤーを用いる。,ブラケット間距離を大きくする。,,断面積の大きいワイヤーを用いる。,135,歯科矯正学一般,https://drive.google.com/file/d/1X5hYdbLxBBB3OoQbyWeAoiyBt8T9p92w/view?usp=drive_link
"53歳の女性。上顎右側第一大臼歯の咬合時の違和感を主訴として来院した。2 週前から硬い物を食べる時に痛みがあるという。自発痛と根尖部圧痛はない。歯の動揺度は0度であった。初診時の口腔内写真を示す。
診断に必要な検査はどれか。2つ選べ。[119A27-ori]",透照診,麻酔診,歯髄電気診,エックス線検査,プロービング検査,45,保存修復学臨床実地,https://drive.google.com/file/d/1Msp86QGgrfy891Y6DqztEa6ClDyJEaS-/view?usp=drive_link
ロクロニウム臭化物の作用に拮抗するのはどれか。2つ選べ。[119A28-ori],フルマゼニル,ネオスチグミン臭化物,スガマデクスナトリウム,デクスメデトミジン塩酸塩,スキサメトニウム塩化物水和物,23,薬理学一般,https://drive.google.com/file/d/146qP5VpMi3aHZyyl9yhXOyjmdWCZaO1Y/view?usp=drive_link
弾性エネルギーを求めるのに必要なのはどれか。2つ選べ。[119A29-ori],耐力,弾性限,最大強さ,破断強さ,Young〈ヤング〉率,25,歯科理工学一般,https://drive.google.com/file/d/1DyGehpp5ikbocxa3Y5ZGkjwaEmrsKUxV/view?usp=drive_link
Blanch testで評価できるのはどれか。1つ選べ。[119A30-ori],齲蝕リスク,唾液分泌量,摂食嚥下機能,咳嗽反射の有無,上唇小帯の付着位置,e,小児歯科学一般,
日常生活動作の評価尺度であるFIM(Functional Independence Measure)で正しいのはどれか。2つ選べ。[119A31-ori],食事動作の評価が含まれる。,得点が低いほど自立度が高い。,手段的日常生活動作を評価する。,生活自立は、ランクJで示される。,コミュニケーションの評価が含まれる。,15,衛生学一般,https://drive.google.com/file/d/10JptbfUL2wmME7qO1jOEH4d_5MRF9NhQ/view?usp=drive_link
"脳梗塞の既往がある79歳の男性。水を飲んだ際に時々鼻からもれるという。嚥下内視鏡検査時の上咽頭の写真を示す。
疑われる機能障害を確認するための検査はどれか。1つ選べ。[119A32-ori]",MWST,頸部聴診法,超音波検査,ブローイング検査,発声持続時間の測定,d,衛生学臨床実地,https://drive.google.com/file/d/1wg1ofGnuldEX92f-t4Z-obu-qUmQE2RS/view?usp=drive_link
持続可能な開発目標<SDGs>の目標3「すべての人に健康と福祉を」のターゲットに掲げられるユニバーサル・ヘルス・カバレッジ<UHC>を、我が国が達成しているとする根拠はどれか。2つ選べ。[119A33-ori],普通教育を義務化している。,飲食店での喫煙を禁止している。,国民皆保険制度を導入している。,予防接種を公費で負担している。,公共施設内のバリアフリーを推進している。,34,衛生学一般,https://drive.google.com/file/d/1DoJabmnLVHWZI2A4eRQpBxD7AF9BAvyJ/view?usp=drive_link
"49歳の女性。右側舌の違和感を主訴として来院した。3日前に他院で下顎右側智歯を抜去した後から気になっているという。初診時のパノラマエックス線画像 (A)とCT(B、C、D)を示す。
行うのはどれか。2つ選べ。[119A34-ori]",舌圧検査,二点識別検査,口唇閉鎖力検査,濾紙ディスク法,オーラルディアドコキネシス,24,生理学臨床実地,https://drive.google.com/file/d/1VsiKeaJyzWkJxxFNZQ96S3wrr47WtKHc/view?usp=drive_link
フッ化物歯面塗布法で正しいのはどれか。2つ選べ。[119A35-ori],簡易防湿後に実施する。,"セルフケアとして実施する。
",塗布後直ちに洗口を指示する。,塗布後の歯質に着色を生じる。,4歳未満の低年齢児に実施できる。,15,衛生学一般,https://drive.google.com/file/d/1ziLypPEzRi5zlTTjFaQsiy1mPmtd1mD9/view?usp=drive_link
予防接種法に基づいて65歳の者が定期接種の対象となるのはどれか。1つ選べ。[119A36-ori],麻疹ワクチン,BCGワクチン,B型肝炎ワクチン,日本脳炎ワクチン,23価肺炎球菌ワクチン,e,衛生学一般,
"78歳の男性。下顎右側第二大臼歯の抜去が予定された。糖尿病と不整脈の既往があるという。抜歯処置を開始したところ、突然、右片麻痺と構音障害が出現した。このときの生体情報モニタ画面の写真を示す。血糖値は145mg/dLであった。
最も考えられるのはどれか。1つ選べ。[119A37-ori]",脳梗塞,低血糖発作,過換気症候群,血管迷走神経反射,アナフィラキシーショック,a,歯科麻酔学臨床実地,https://drive.google.com/file/d/1x2G9E3ItWcxSt70e8pfr2Fgz5DKAR-I1/view?usp=drive_link
血液凝固過程で直接経口抗凝固薬<DOAC>が阻害するのはどれか。2つ選べ。[119A38-ori],Ⅸa因子,Ⅹa因子,トロンビン,フィブリノゲン,プロトロンビン,23,歯科麻酔学一般,https://drive.google.com/file/d/1HmojMQp6B48PtsjcVv_V4xlm5-_5RIon/view?usp=drive_link
光重合型コンポジットレジンを用いた4級修復で、分割積層塡塞を行う目的はどれか。1つ選べ。[119A39-ori],隔壁法の省略,審美性の向上,窩縁斜面の省略,修復物の変色防止,チェアタイムの短縮,b,保存修復学一般,
"86歳の女性。上顎前歯部口蓋側の腫脹を主訴として来院した。3か月前から自 覚していたが痛みがないため、そのままにしていたという。触診によって軽度の圧痛を認めるが、粘膜の色に異常は認めない。初診時のエックス線画像(A)、CT軟組織表示横断像(B)、CT硬組織表示横断像(C)、 MRI脂肪抑制T2強調横断像(D)及びMRI T1強調冠状断像(E)を示す。
最も考えられるのはどれか。1つ選べ。[119A40-ori]",歯根嚢胞,粘液嚢胞,鼻歯槽嚢胞,鼻口蓋管嚢胞,術後性上顎嚢胞,d,口腔外科学臨床実地,https://drive.google.com/file/d/1QSMwx48X9A2I-4FDoY7uryLL_vZRK0Xb/view?usp=drive_link
"60歳の女性。入れ歯の針金周囲に食べ物が挟まることを主訴として来院した。下顎右側第一大臼歯の欠損に対し1年前にレジン床義歯を製作したが、比較的早期から着脱のわずらわしさを感じていたという。診察の結果、⑦6⑤⏋ブリッジによる補綴処置を行うこととした。初診時の口腔内写真(A)とエックス線画像(B)を示す。歯周組織検査結果の一部を表に示す。
補綴前処置として考えられるのはどれか。2つ選べ。[119A41-ori]",咬合調整,歯肉切除,小帯切除,歯冠長延長術,矯正歯科治療による整直,35,冠橋義歯学臨床実地,https://drive.google.com/file/d/1QPAHEZOS83qM9QhccsnJeEB7U8hRsN1D/view?usp=drive_link
8歳児の口腔清掃状態を評価する簡略化口腔衛生指数（OHI-S）の被検歯はどれか。1つ選べ。[119A42-ori],,,,,,d,衛生学一般,
"心臓手術が予定されている患児に対し、外傷歯の抜歯を行うこととした。術前にアモキシシリン水和物の投与を行った。
この投与に該当するのはどれか。1つ選べ。[119A43-ori]",原因療法,再生療法,対症療法,補充療法,予防療法,e,口腔外科学一般,
